Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.032162771224975586,3.2162771224975586,2500,6.218369636155375
0,0.0%,0.03323880672454834,3.323880672454834,2500,6.017063177309885
0,0.0%,0.03570902347564697,3.5709023475646973,2500,5.600825240611719
0,0.0%,0.03681743144989014,3.6817431449890137,2500,5.432209475889357
0,0.0%,0.03426448822021484,3.4264488220214844,2500,5.836946949699573
0,0.0%,0.030119266510009766,3.0119266510009766,2500,6.6402679472135375
0,0.0%,0.02753992795944214,2.753992795944214,2500,7.262183121703826
0,0.0%,0.029842183589935303,2.9842183589935303,2500,6.701922444691776
0,0.0%,0.03150916814804077,3.150916814804077,2500,6.3473589356701545
0,0.0%,0.033127710819244385,3.3127710819244385,2500,6.03724178501996
0,0.0%,0.03436749219894409,3.436749219894409,2500,5.819452837648271
0,0.0%,0.03513671398162842,3.513671398162842,2500,5.692051911985054
0,0.0%,0.0301261568069458,3.01261568069458,2500,6.63874921987688
0,0.0%,0.028105225563049317,2.8105225563049316,2500,7.116114387743797
0,0.0%,0.028049209117889405,2.8049209117889404,2500,7.130325819862162
0,0.0%,0.028496689796447754,2.8496689796447754,2500,7.018359024455217
0,0.0%,0.030970683097839357,3.0970683097839355,2500,6.457720011153155
0,0.0%,0.03263025999069214,3.263025999069214,2500,6.129280001356118
0,0.0%,0.03380826711654663,3.380826711654663,2500,5.915712843564078
0,0.0%,0.03180551052093506,3.180551052093506,2500,6.288218510699767
0,0.0%,0.029331414699554442,2.9331414699554443,2500,6.818627810783299
0,0.0%,0.026253108978271485,2.6253108978271484,2500,7.618145346729448
0,0.0%,0.02818953037261963,2.818953037261963,2500,7.094832633120386
0,0.0%,0.030221679210662843,3.022167921066284,2500,6.617765962171811
0,0.0%,0.03125324249267578,3.125324249267578,2500,6.399336006395821
0,0.0%,0.03327658414840698,3.3276584148406982,2500,6.010232273482145
0,0.0%,0.034518234729766846,3.4518234729766846,2500,5.794039051120124
0,0.0%,0.02684849500656128,2.684849500656128,2500,7.449207113885664
0,0.0%,0.024931094646453857,2.4931094646453857,2500,8.022110654834306
0,0.0%,0.027705028057098388,2.770502805709839,2500,7.218906242860036
