Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps),Tamanho de pacote
0,0.0%,0.0378694057464599,3.786940574645996,5400,11.407625535301236,54.0
0,0.0%,0.0383903503417968,3.839035034179688,5400,11.25282775889823,54.0
0,0.0%,0.0381692695617675,3.816926956176758,5400,11.318005425828604,54.0
0,0.0%,0.0384145855903625,3.841458559036255,5400,11.245728500280377,54.0
0,0.0%,0.0394370436668396,3.94370436668396,5400,10.954167955628089,54.0
0,0.0%,0.0393392944335937,3.933929443359375,5400,10.981386581023528,54.0
0,0.0%,0.0398714542388916,3.98714542388916,5400,10.83481925218109,54.0
0,0.0%,0.0387122702598571,3.8712270259857178,5400,11.15925253414972,54.0
0,0.0%,0.0396270060539245,3.962700605392456,5400,10.90165629500581,54.0
0,0.0%,0.0394963979721069,3.949639797210693,5400,10.937706276534032,54.0
0,0.0%,0.0392472147941589,3.9247214794158936,5400,11.007150501397962,54.0
0,0.0%,0.0388734674453735,3.8873467445373535,5400,11.112978295724783,54.0
0,0.0%,0.0401961398124694,4.019613981246948,5400,10.747300661592057,54.0
0,0.0%,0.0395865130424499,3.958651304244995,5400,10.912807590220233,54.0
0,0.0%,0.039221065044403,3.922106504440308,5400,11.014489267716796,54.0
0,0.0%,0.0390383911132812,3.903839111328125,5400,11.066029815276616,54.0
0,0.0%,0.0391448974609375,3.91448974609375,5400,11.035921103921416,54.0
0,0.0%,0.0391687512397766,3.916875123977661,5400,11.02920022533922,54.0
0,0.0%,0.0387184834480285,3.871848344802856,5400,11.15746179934628,54.0
0,0.0%,0.0391664385795593,3.9166438579559326,5400,11.02985146638933,54.0
0,0.0%,0.0381003522872924,3.810035228729248,5400,11.338477837226822,54.0
0,0.0%,0.0378821086883544,3.788210868835449,5400,11.403800235988529,54.0
0,0.0%,0.0381661820411682,3.816618204116821,5400,11.318921015835963,54.0
0,0.0%,0.038941593170166,3.8941593170166016,5400,11.093536880020729,54.0
0,0.0%,0.0393610548973083,3.936105489730835,5400,10.97531560389002,54.0
0,0.0%,0.0396460199356079,3.964601993560791,5400,10.896427956744304,54.0
0,0.0%,0.0397265744209289,3.972657442092896,5400,10.87433302007564,54.0
0,0.0%,0.0400081777572631,4.000817775726318,5400,10.79779245685774,54.0
0,0.0%,0.0392463850975036,3.924638509750366,5400,11.00738320043336,54.0
0,0.0%,0.0395663905143737,3.956639051437378,5400,10.918357585412345,54.0
