Tamanho de pacote,Média de Packet Loss,Média de Loss Percentage(%),Média do Time Delta Mean(s),Média do Total Time(s),Média de Total Bytes(B),Média do Throughput(Kbps)
19,0,0,0.0279944655100504,2.7994465510050457,1900.0,5.437784073784935
20,0,0,0.025095629692077584,2.5095629692077637,2000.0,6.379105430065353
21,0,0,0.02230832155545548,2.2308321555455524,2100.0,7.5536592326450185
22,0,0,0.019964999993642128,1.9964999993642172,2200.0,8.890677053542472
23,0,0,0.030971269607543886,3.0971269607543945,2300.0,5.948494593462211
24,0,0,0.02884402672449743,2.8844026724497476,2400.0,6.665363799869568
25,0,0,0.02576775852839147,2.5767758528391522,2500.0,7.771556768342141
26,0,0,0.02206037871042882,2.2060378710428874,2600.0,9.44612484331512
27,0,0,0.020753984371821035,2.0753984371821086,2700.0,10.506831488993425
28,0,0,0.030144773642222043,3.0144773642222087,2800.0,7.449822099372563
29,0,0,0.028223746458689317,2.8223746458689374,2900.0,8.231031626867784
30,0,0,0.02427004361152645,2.427004361152649,3000.0,9.928785758646027
31,0,0,0.0231862555344899,2.318625553448995,3100.0,10.820406404661261
32,0,0,0.030607904672622636,3.060790467262268,3200.0,8.421061312985275
33,0,0,0.02999855685234065,2.9998556852340696,3300.0,8.809587182715966
34,0,0,0.027873569806416774,2.787356980641683,3400.0,9.766377574078511
35,0,0,0.024475088516871083,2.4475088516871133,3500.0,11.48417640717369
36,0,0,0.029478912989298455,2.9478912989298505,3600.0,10.105608531633061
37,0,0,0.0325495592753092,3.2549559275309243,3700.0,9.098307695379392
38,0,0,0.030597105979919388,3.0597105979919434,3800.0,9.949998579727371
39,0,0,0.026583781401316273,2.6583781401316324,3900.0,11.753404829211188
40,0,0,0.03184009790420527,3.1840097904205322,4000.0,10.174271179805965
41,0,0,0.03290866144498185,3.2908661444981893,4100.0,9.979936089375819
42,0,0,0.029992454926172845,2.9992454926172893,4200.0,11.206450749531589
43,0,0,0.027183020432790066,2.718302043279012,4300.0,12.681056194972344
44,0,0,0.030407576402028347,3.0407576402028402,4400.0,11.803182538203394
45,0,0,0.03338617380460099,3.338617380460103,4500.0,10.79889178836113
46,0,0,0.03592137463887528,3.5921374638875325,4600.0,10.247276231453288
47,0,0,0.034515942732493046,3.451594273249308,4700.0,10.897345072445768
48,0,0,0.03641853626569109,3.641853626569112,4800.0,10.546088197546071
49,0,0,0.03741307719548538,3.7413077195485434,4900.0,10.47862804233424
50,0,0,0.037834574381510375,3.7834574381510415,5000.0,10.574138507684692
51,0,0,0.03803966554005937,3.8039665540059406,5100.0,10.726574828541525
52,0,0,0.03785480602582292,3.785480602582296,5200.0,10.99614510762958
53,0,0,0.03673877731959021,3.673877731959025,5300.0,11.54232173339517
54,0,0,0.03907777595520015,3.9077775955200194,5400.0,11.057690421141361
55,0,0,0.03863438574473059,3.8634385744730633,5500.0,11.389996957754766
56,0,0,0.037089798132578476,3.7089798132578533,5600.0,12.086218136506773
57,0,0,0.03839410750071202,3.839410750071208,5700.0,11.887502454154085
58,0,0,0.03811253650983171,3.8112536509831747,5800.0,12.186839480218481
59,0,0,0.03768839430809016,3.768839430809021,5900.0,12.532989515898361
60,0,0,0.03883431307474768,3.883431307474772,6000.0,12.3609555138467
61,0,0,0.03902834065755205,3.9028340657552083,6100.0,12.50436950879152
62,0,0,0.03799682919184363,3.799682919184367,6200.0,13.066014754086199
