Tamanho de pacote,Desvio Padrão de Packet Loss,Desvio Padrão de Loss Percentage(%),Desvio Padrão do Time Delta Mean(s),Desvio Padrão do Total Time(s),Desvio Padrão de Total Bytes(B),Desvio Padrão do Throughput(Kbps)
19,0,0%,0.0010966105640383616,0.10966105640383601,0,0.2150437431648403
20,0,0%,0.0005987343203857841,0.059873432038577236,0,0.15151078768228035
21,0,0%,0.001250215466042532,0.1250215466042534,0,0.4221771317252616
22,0,0%,0.0020184878288848998,0.20184878288848954,0,0.7737069964614571
23,0,0%,0.001074674873972365,0.10746748739723726,0,0.22408093429503062
24,0,0%,0.0010673062480470034,0.10673062480470064,0,0.24823052303280593
25,0,0%,0.0009405300690626023,0.09405300690625967,0,0.28133196302535524
26,0,0%,0.0009730639125851455,0.09730639125851527,0,0.4097551722935449
27,0,0%,0.0020709213204927225,0.20709213204927307,0,1.0305557672665075
28,0,0%,0.0014723372735810471,0.14723372735810453,0,0.4035434340655929
29,0,0%,0.0010469047376276447,0.10469047376276384,0,0.3070530664477946
30,0,0%,0.0015767448544375885,0.1576744854437593,0,0.6384246381936322
31,0,0%,0.0026165792064939304,0.2616579206493928,0,1.1433244317082198
32,0,0%,0.00250750531702111,0.2507505317021117,0,0.723538011142988
33,0,0%,0.0009931333012564495,0.09931333012564594,0,0.28652256666126097
34,0,0%,0.000806106161039792,0.08061061610397978,0,0.28731870259105174
35,0,0%,0.001531722335854637,0.15317223358546425,0,0.7275677081900349
36,0,0%,0.005139325464048934,0.5139325464048929,0,2.0039483671761222
37,0,0%,0.000734329519555079,0.07343295195550889,0,0.20558057311339678
38,0,0%,0.001188458723223681,0.11884587232236822,0,0.38415310093984995
39,0,0%,0.0010318718184153515,0.10318718184153489,0,0.4516568746875292
40,0,0%,0.003476925705044086,0.3476925705044082,0,1.1785354169739097
41,0,0%,0.0012048533250877918,0.12048533250877998,0,0.3661528729947746
42,0,0%,0.0005493631843383596,0.05493631843383652,0,0.20523457995918323
43,0,0%,0.0012574748823668883,0.12574748823668747,0,0.5841940468621445
44,0,0%,0.00435459022645122,0.43545902264512165,0,1.646698740781754
45,0,0%,0.0012738550175853622,0.12738550175853616,0,0.43369933214073936
46,0,0%,0.0005946596155153301,0.05946596155153291,0,0.16746839677807226
47,0,0%,0.0006665144263337008,0.06665144263337042,0,0.20525883452755775
48,0,0%,0.0005097376578225868,0.05097376578225871,0,0.14837369298325756
49,0,0%,0.0003727336639499506,0.03727336639499433,0,0.10469728549786163
50,0,0%,0.0005014951988227806,0.05014951988227817,0,0.14035083213925295
51,0,0%,0.0003595397650137655,0.035953976501377494,0,0.10162795948306175
52,0,0%,0.000948499561006332,0.09484995610063258,0,0.2803247598336501
53,0,0%,0.000408382102440394,0.040838210244038727,0,0.12866132992553006
54,0,0%,0.000631884295982996,0.06318842959829903,0,0.18002691539497911
55,0,0%,0.0003980567880314745,0.0398056788031465,0,0.11835190074099024
56,0,0%,0.0009472163183114415,0.09472163183114422,0,0.30081229339098636
57,0,0%,0.0011563036673731463,0.1156303667373149,0,0.36693333090638175
58,0,0%,0.0012275181461385597,0.12275181461385637,0,0.3972928437956271
59,0,0%,0.0010464316562039061,0.10464316562039079,0,0.34435861696450104
60,0,0%,0.0003082771744623758,0.03082771744623786,0,0.09804688306791741
61,0,0%,0.00028294284913693714,0.028294284913693173,0,0.09065157819110171
62,0,0%,0.0011785168962569893,0.1178516896256993,0,0.4101321832505846
63,0,0%,0.0008750639181950292,0.08750639181950307,0,0.2969260733072915
64,0,0%,0.0003460600194012803,0.03460600194012852,0,0.11175981075405775
65,0,0%,0.0006959960529014658,0.0695996052901461,0,0.23827802923087557
66,0,0%,0.001130627347144144,0.1130627347144141,0,0.4014833809215459
67,0,0%,0.001234707056227421,0.12347070562274068,0,0.4402480211439315
68,0,0%,0.000585247981222816,0.05852479812228118,0,0.1971531920713781
69,0,0%,0.0014789898964707026,0.14789898964706982,0,0.5268917414975572
