
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
90,0.9%,0.046614861488342284,0.46614861488342285,800,13.729527012754398
90,0.9%,0.047359037399291995,0.4735903739929199,800,13.513788183743108
90,0.9%,0.04576272964477539,0.4576272964477539,800,13.985179751467626
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
90,0.9%,0.04674062728881836,0.4674062728881836,800,13.69258474100765
90,0.9%,0.04685535430908203,0.4685535430908203,800,13.659057954790624
90,0.9%,0.046622943878173825,0.4662294387817383,800,13.727146910163498
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
90,0.9%,0.043551301956176756,0.4355130195617676,800,14.695312683051274
90,0.9%,0.046091246604919436,0.46091246604919434,800,13.885499897320878
90,0.9%,0.04699258804321289,0.4699258804321289,800,13.6191690360079
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
90,0.9%,0.0369032621383667,0.369032621383667,420,9.104886140964638
90,0.9%,0.03717083930969238,0.37170839309692383,420,9.0393439115158
90,0.9%,0.03703756332397461,0.3703756332397461,420,9.071871091004127
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04464930772781372,4.464930772781372,8400,15.05062528844957
0,0.0%,0.04512128114700317,4.512128114700317,8400,14.893194140712744
0,0.0%,0.045474882125854495,4.547488212585449,8400,14.777388496361558
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
30,0.3%,0.04440601212637765,3.1084208488464355,5880,15.133085990417607
30,0.3%,0.044670210565839495,3.1269147396087646,5880,15.043582546125188
30,0.3%,0.04461170605250767,3.122819423675537,5880,15.063310943747826
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
30,0.3%,0.04355630874633789,3.0489416122436523,5880,15.428304632368558
30,0.3%,0.04455274513789586,3.11869215965271,5880,15.083245665785192
30,0.3%,0.043924498558044436,3.0747148990631104,5880,15.298979431990086
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
30,0.3%,0.044332848276410784,3.103299379348755,5880,15.15806058320793
30,0.3%,0.045461630821228026,3.182314157485962,5880,14.781695857822456
30,0.3%,0.04490112236567906,3.143078565597534,5880,14.96621831693131
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
30,0.3%,0.04366676466805594,3.056673526763916,5880,15.389278438839687
30,0.3%,0.04376329694475446,3.0634307861328125,5880,15.35533305107962
30,0.3%,0.04361007554190499,3.0527052879333496,5880,15.409283099137815
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
30,0.3%,0.043558716773986816,3.049110174179077,5880,15.42745171963645
30,0.3%,0.043301844596862794,3.0311291217803955,5880,15.518969370849533
30,0.3%,0.04401756354740688,3.0812294483184814,5880,15.266633267337856
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
-20,-0.2%,0.043777827421824136,5.2533392906188965,10080,15.350236399922267
-20,-0.2%,0.04394591252009074,5.273509502410889,10080,15.291524546060614
-20,-0.2%,0.044094796975453696,5.291375637054443,10080,15.239893277523946
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04399437665939331,4.399437665939331,8400,15.274679425569728
0,0.0%,0.04417773485183716,4.417773485183716,8400,15.211282385883903
0,0.0%,0.04375519275665283,4.375519275665283,8400,15.358177113682688
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04408181428909302,4.408181428909302,8400,15.244381630777621
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.11904130458831787,11.904130458831787,8500,5.71230298887981
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.26985711336135865,26.985711336135864,25500,7.559556146545928
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.18742950677871703,18.742950677871704,16900,7.213378636247481
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04388627529144287,4.388627529144287,8400,15.312304257705584
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04356777906417847,4.356777906417847,8400,15.424242741639315
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04366802215576172,4.366802215576172,8400,15.388835280952469
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
0,0.0%,0.04394212484359741,4.394212484359741,1500,2.7308647551094607
Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps)
