Tamanho da imagem (KB),Tempo total de recebimento (s),Throughput Bytes (Kbps),Throughput bits (Kbps)
2623,2.361562967300415,1110.7050865547924,8885.64069243834
2623,2.4269604682922363,1080.7757416196027,8646.205932956822
2623,2.4726874828338623,1060.789128512864,8486.313028102912
2623,2.4734458923339844,1060.4638686981318,8483.710949585055
2623,2.37958025932312,1102.29524292075,8818.361943366
2623,2.475616455078125,1059.5340787219093,8476.272629775274
2623,2.4598119258880615,1066.3416875064638,8530.73350005171
2623,2.3822810649871826,1101.0455645014802,8808.364516011841
2623,2.423117160797119,1082.4899606328265,8659.919685062612
2623,2.527235746383667,1037.8928850438137,8303.14308035051
19297,18.671308279037476,1033.5108665987266,8268.086932789813
19297,18.315977334976196,1053.561032921265,8428.48826337012
19297,18.601212739944458,1037.4054783299907,8299.243826639926
19297,18.40928840637207,1048.2208531928188,8385.76682554255
19297,18.054807424545288,1068.801208799711,8550.409670397688
19297,17.511627197265625,1101.9535639162737,8815.62851133019
19297,18.00656270980835,1071.6648319275691,8573.318655420553
19297,18.041804790496826,1069.57148822297,8556.57190578376
19297,18.29230499267578,1054.92446182843,8439.39569462744
19297,18.198642015457153,1060.353843084003,8482.830744672025
28198,30.768418312072754,916.4591989746776,7331.673591797421
28198,31.070385217666626,907.5523139625128,7260.4185117001025
28198,30.88405179977417,913.0278689730144,7304.222951784115
28198,30.065715074539185,937.8789072566966,7503.031258053573
28198,30.656757593154907,919.7972066783767,7358.377653427014
28198,29.924875259399414,942.2929838660897,7538.3438709287175
28198,30.28996515274048,930.9353727483174,7447.482981986539
28198,30.401105403900146,927.53206258028,7420.25650064224
28198,30.611440896987915,921.1588600121927,7369.2708800975415
28198,31.280062913894653,901.4687750987356,7211.750200789885
51596,49.856770515441895,1034.8845195261779,8279.076156209423
51596,47.78311800956726,1079.7955878406535,8638.364702725228
51596,49.85691475868225,1034.8815254561034,8279.052203648827
51596,49.690072774887085,1038.3562977206213,8306.85038176497
51596,49.42290449142456,1043.969401048708,8351.755208389664
51596,49.44573664665222,1043.4873357983101,8347.898686386481
51596,49.09144854545593,1051.0180801086974,8408.14464086958
51596,49.535290479660034,1041.6008365023342,8332.806692018674
51596,52.51306891441345,982.5363679295128,7860.290943436103
51596,50.353525161743164,1024.6750318724621,8197.400254979697
56818,61.32356333732605,926.5280245940368,7412.224196752294
56818,62.13041043281555,914.4958097683887,7315.966478147109
56818,62.12586069107056,914.5627821968595,7316.502257574876
56818,62.14125323295593,914.3362427371709,7314.689941897367
56818,63.726900815963745,891.5858024240675,7132.68641939254
56818,64.30225229263306,883.6082403681137,7068.8659229449095
56818,61.5979278087616,922.4011589545435,7379.209271636348
56818,62.33629322052002,911.4754353294865,7291.803482635892
56818,62.027427196502686,916.0141338766279,7328.113071013023
56818,61.7105712890625,920.7174526687675,7365.73962135014
