Packet Loss,Loss Percentage(%),Time Delta Mean(s),Total Time(s),Total Bytes(B),Throughput(Kbps),Tamanho de pacote
0,0.0%,0.1856317210197448,18.563172101974487,16800,7.240141892866706,168.0
0,0.0%,0.1854805779457092,18.548057794570923,16800,7.246041687412648,168.0
0,0.0%,0.1847900176048278,18.479001760482788,16800,7.273120146966674,168.0
0,0.0%,0.1862637710571289,18.62637710571289,16800,7.215573873395821,168.0
0,0.0%,0.1890952134132385,18.909521341323853,16800,7.107530517247386,168.0
0,0.0%,0.1890806317329406,18.908063173294067,16800,7.108078641805464,168.0
0,0.0%,0.1893383836746215,18.93383836746216,16800,7.098402204117613,168.0
0,0.0%,0.1893314099311828,18.93314099311829,16800,7.0986636633008215,168.0
0,0.0%,0.1889285993576049,18.892859935760494,16800,7.11379857030576,168.0
0,0.0%,0.1903516268730163,19.03516268730164,16800,7.06061735367559,168.0
0,0.0%,0.1897310042381286,18.973100423812863,16800,7.083713098957538,168.0
0,0.0%,0.1895546770095825,18.95546770095825,16800,7.090302498482045,168.0
0,0.0%,0.1906696128845214,19.06696128845215,16800,7.048842128892295,168.0
0,0.0%,0.1892881989479065,18.92881989479065,16800,7.100284156488164,168.0
0,0.0%,0.1877546501159668,18.77546501159668,16800,7.158278099476511,168.0
0,0.0%,0.1896941351890564,18.96941351890564,16800,7.085089893056095,168.0
0,0.0%,0.1896111011505127,18.96111011505127,16800,7.088192578625115,168.0
0,0.0%,0.1856006336212158,18.560063362121586,16800,7.241354589030718,168.0
0,0.0%,0.1861126518249511,18.61126518249512,16800,7.221432754953723,168.0
0,0.0%,0.1843074226379394,18.430742263793945,16800,7.292164258843796,168.0
0,0.0%,0.1869951033592224,18.69951033592224,16800,7.187353978024448,168.0
0,0.0%,0.1865207195281982,18.652071952819824,16800,7.2056337944633215,168.0
0,0.0%,0.1888216423988342,18.882164239883423,16800,7.117828141549403,168.0
0,0.0%,0.1886125516891479,18.861255168914795,16800,7.12571877090685,168.0
0,0.0%,0.1895520377159118,18.955203771591187,16800,7.090401222772919,168.0
0,0.0%,0.1892598009109497,18.92598009109497,16800,7.101349539263107,168.0
0,0.0%,0.1891267204284668,18.91267204284668,16800,7.106346458898915,168.0
0,0.0%,0.1856353068351745,18.563530683517456,16800,7.2400020390158675,168.0
0,0.0%,0.1851225352287292,18.512253522872925,16800,7.260056147888278,168.0
0,0.0%,0.185006308555603,18.500630855560303,16800,7.264617139236987,168.0
